gene,PCC_slice1,PCC_slice2,mean_PCC
OXTR,0.15775621296753325,0.16878570104477117,0.1632709570061522
SRPK1,0.14527330981129533,0.1795109065441361,0.1623921081777157
TYROBP,0.16208782220314605,0.16160367374993223,0.16184574797653914
NKG7,0.14954139156112814,0.17253858462663937,0.16103998809388376
TUBB2B,0.1577891449377628,0.16316470107395833,0.16047692300586058
OCIAD2,0.1565575852891637,0.16394490164051306,0.16025124346483838
TIMP4,0.13242262463897495,0.17537090451454707,0.153896764576761
IL2RA,0.19291645972303081,0.11382677016499271,0.15337161494401175
CD1C,0.13366005435577702,0.15877867338580157,0.1462193638707893
PTRHD1,0.137977092589595,0.15411352975314335,0.14604531117136918
CLCA2,0.11429738969155719,0.1738310871834228,0.14406423843749
APOBEC3B,0.140668772404416,0.1472137424538585,0.14394125742913724
PDE4A,0.14030682230571684,0.14439930613830143,0.14235306422200913
CX3CR1,0.13700137331612788,0.14706323619496597,0.14203230475554693
AQP3,0.1310488968532246,0.15260911375552233,0.14182900530437348
DUSP2,0.13770438125887727,0.14359317832545243,0.14064877979216484
TOMM7,0.14515749102177758,0.13520198055274518,0.1401797357872614
RAB30,0.1353001140387519,0.14305642939525934,0.1391782717170056
FSTL3,0.1322553892668995,0.14048860873411356,0.13637199900050653
TRIB1,0.1037561849077797,0.16205478705613724,0.13290548598195848
TUBA4A,0.12214171379786583,0.13817254070748927,0.13015712725267756
CXCL16,0.11738680155772824,0.13787673070453035,0.1276317661311293
CLECL1,0.1288268485902072,0.12348100799337064,0.12615392829178892
PGR,0.12031083752255563,0.13196282953279065,0.12613683352767313
SNAI1,0.12934693432879793,0.12187222038250595,0.12560957735565192
SLC25A37,0.09881728727860402,0.15020539010357323,0.12451133869108863
WARS,0.09723695701488543,0.1506050105083555,0.12392098376162047
SOX18,0.13107820650717875,0.11095543544615548,0.1210168209766671
LY86,0.1203702631265089,0.11624392136932514,0.11830709224791702
AKR1C3,0.11244786110564339,0.12356587360101594,0.11800686735332966
SCGB2A1,0.11411716705421282,0.1215439193212238,0.11783054318771831
MMP1,0.0882494239852977,0.14726031989040025,0.11775487193784898
LGALSL,0.10692233767203808,0.1121452148805488,0.10953377627629343
VOPP1,0.09327024200017665,0.12323570358327332,0.108252972791725
MAP3K8,0.11040916923352842,0.10048491115507062,0.10544704019429951
LILRA4,0.09560784928134666,0.11384306304925695,0.10472545616530181
CDC42EP1,0.1040100760956635,0.10541757301377004,0.10471382455471677
TIFA,0.09513468045163462,0.10790593284635092,0.10152030664899277
PDCD1LG2,0.10210176251940657,0.09979422944058415,0.10094799597999536
CD79B,0.10351561701399196,0.09717931073868138,0.10034746387633667
PELI1,0.09325239758844511,0.10331782220479356,0.09828510989661934
TRAPPC3,0.09654283938255517,0.09999743018013489,0.09827013478134503
EIF4EBP1,0.08962592017757225,0.09727494719779581,0.09345043368768402
PLD4,0.08365844493730255,0.08800439695901216,0.08583142094815735
CCL8,0.08091002703844805,0.09032440853461872,0.08561721778653339
CD80,0.08533189545224429,0.0843676317835004,0.08484976361787235
GNLY,0.07890512619236557,0.08681939846469151,0.08286226232852854
CD274,0.07835057047895673,0.08506993638535651,0.08171025343215663
S100A8,0.09071462272429753,0.0699021971569292,0.08030840994061336
LIF,0.06756103351578482,0.09275359304980607,0.08015731328279545
KARS,0.07011273747788987,0.08341960855306685,0.07676617301547836
CYP1A1,0.11539470422209998,0.03331751767513762,0.0743561109486188
GZMB,0.0950210588156334,0.04914387722707646,0.07208246802135493
SLC4A1,0.0897272437686853,0.04983044638976435,0.06977884507922483
DAPK3,0.06121681557508279,0.07755654473175744,0.06938668015342012
CLEC9A,0.0573846496269685,0.0779386000757796,0.06766162485137406
DUSP5,0.05961177043767777,0.07467490284999147,0.06714333664383462
DNTTIP1,0.057300787461752496,0.07104000490004964,0.06417039618090106
CCL20,0.06356081712888452,0.061907311205434974,0.06273406416715975
TCL1A,0.0575960836141027,0.06354456926998858,0.060570326442045644
NDUFA4L2,0.05785996456853775,0.061557103882306716,0.05970853422542223
CXCL5,0.07017774055783822,0.048966528028258086,0.059572134293048154
FOXP3,0.056095206041121566,0.06214553400900516,0.05912037002506336
RORC,0.0452664931269589,0.057748516953416006,0.05150750504018745
GZMK,0.05236177824045393,0.047889844934305155,0.05012581158737954
ANKRD28,0.04345294260786779,0.04942496068745693,0.04643895164766236
KLRF1,0.041881862694890255,0.04671328139091782,0.044297572042904035
